FromOtherCounty10,ToOtherState10,highschool_r10,65to74_10,county_name,state_fips,HighSchool10,CountyFIPS,Black10,Population10,black_r10,State10,BornInState10,Agriculture10,Management10,MedianAge10,Tenure10,hisp_r10,Bachelor10,SameHouse10,Hispanic10,White10,ToOtherCounty10,univ_r10,CountyState10,Owner10,MedianIncome10,homeowner_r10,FromOtherState10,Manufacture10,white_r10,18to24_10,Foodstamp10
1934,1412,0.224550841877528,3755,Autauga County,01,11936,001,9508,53155,0.17887310695136863,Alabama,35666,230,7139,36.2,19718,0.023196312670491957,7369,45383,1233,41223,2124,0.13863230175900668,"Autauga County, Alabama",15285,27176,0.7751800385434628,1575,3439,0.7755244097450851,4546,0
4602,5250,0.20672275600002277,16629,Baldwin County,01,36340,003,16613,175791,0.0945042692743087,Alabama,94067,1462,24751,41,69476,0.03895535038767627,32605,144068,6848,147801,3949,0.18547593449038915,"Baldwin County, Alabama",53309,24896,0.7673009384535667,9285,7230,0.8407768315784084,13257,90
1919,601,0.24112783855012818,2084,Barbour County,01,6679,005,12911,27699,0.466117910393877,Alabama,19871,406,2634,38,9795,0.04595833784613163,2551,22591,1273,13077,1570,0.09209718762410195,"Barbour County, Alabama",6665,14962,0.6804492087799898,707,2800,0.4721109065309217,2590,0
676,123,0.2822644847412649,1628,Bibb County,01,6382,007,3450,22610,0.1525873507297656,Alabama,19430,375,1972,38.3,7441,0.0059265811587793015,1512,20325,134,18904,1757,0.06687306501547988,"Bibb County, Alabama",6170,21435,0.8291896250503965,222,1768,0.8360902255639098,2230,0
2094,644,0.24469060890425456,4791,Blount County,01,13872,009,716,56692,0.012629647922105412,Alabama,45083,784,6092,38.3,20605,0.07489592887885416,4771,48914,4246,50737,2153,0.08415649474352642,"Blount County, Alabama",16897,22352,0.8200436787187576,715,4146,0.8949587243350031,4559,55
572,42,0.24443834111507828,733,Bullock County,01,2670,011,8110,10923,0.7424700173944887,Alabama,9357,452,914,38.7,3732,0.016478989288656962,877,9546,180,2418,505,0.08028929781195643,"Bullock County, Alabama",2871,17013,0.7692926045016077,88,794,0.22136775611095852,1126,0
224,214,0.26006221584111033,1752,Butler County,01,5434,013,8969,20895,0.4292414453218473,Alabama,17740,305,1810,39.7,8019,0.0027757836803062935,1543,19088,58,11435,837,0.07384541756401053,"Butler County, Alabama",5530,17684,0.6896121710936526,202,1826,0.5472601100741804,1769,0
3919,2223,0.22870873844420353,9088,Calhoun County,01,26793,015,23928,117149,0.20425270382162886,Alabama,83750,459,13221,38.1,46421,0.030345969662566474,12529,95802,3555,86996,4560,0.10694926973341642,"Calhoun County, Alabama",32818,19564,0.7069645203679369,3269,8794,0.7426098387523581,12452,23
619,544,0.2355186673992886,3003,Chambers County,01,8144,017,13527,34579,0.3911911854015443,Alabama,25331,164,3212,40.1,13681,0.01515370600653576,2573,29548,524,20138,1471,0.0744093235778941,"Chambers County, Alabama",9764,16833,0.7136905196988524,1141,3315,0.5823765869458342,2732,17
891,456,0.2546692607003891,2856,Cherokee County,01,6545,019,1202,25700,0.046770428015564205,Alabama,15092,244,2653,43.9,11352,0.012490272373540856,1952,22383,321,23676,813,0.0759533073929961,"Cherokee County, Alabama",8802,20684,0.7753699788583509,555,2616,0.9212451361867704,1809,24
1149,407,0.2679668838848821,3361,Chilton County,01,11555,021,4052,43121,0.09396813617494956,Alabama,34935,549,4289,37.2,16563,0.06507270239558452,3479,37434,2806,35475,1565,0.08067994712553049,"Chilton County, Alabama",12435,21539,0.7507697880818692,463,2581,0.822685002666914,3654,43
187,469,0.2724115937920771,1389,Choctaw County,01,3844,023,6064,14111,0.429735667209978,Alabama,8481,374,1321,43.2,5296,0.0036850683863652468,1067,12718,52,7812,167,0.07561476862022536,"Choctaw County, Alabama",4534,15810,0.8561178247734139,257,692,0.5536106583516406,1057,0
421,249,0.26977718529803846,2285,Clarke County,01,7083,025,10990,26255,0.4185869358217482,Alabama,22379,482,2282,38.9,9144,0.009064940011426395,2265,24414,238,14243,1495,0.0862692820415159,"Clarke County, Alabama",7316,15969,0.8000874890638671,350,1598,0.5424871453056561,2669,31
501,222,0.27172364672364674,1234,Clay County,01,3815,027,2160,14040,0.15384615384615385,Alabama,11421,263,1358,41.3,5851,0.02564102564102564,934,11831,360,11280,877,0.06652421652421653,"Clay County, Alabama",4260,20540,0.7280806699709451,312,1855,0.8034188034188035,1087,45
478,248,0.2701207582810497,1383,Cleburne County,01,4004,029,606,14823,0.04088241246711192,Alabama,7982,318,1401,40.1,5397,0.014437023544491669,850,12555,214,13780,422,0.05734331781690616,"Cleburne County, Alabama",4041,16349,0.7487493051695386,534,1056,0.929636375902314,1138,0
