"","county_name","state_fips","X","combined_fips","votes_dem_2016","votes_gop_2016","total_votes_2016","per_dem_2016","per_gop_2016","diff_2016","per_point_diff_2016","state_abbr","FIPS","total_votes_2012","votes_dem_2012","votes_gop_2012","county_fips","per_dem_2012","per_gop_2012","diff_2012","per_point_diff_2012","puregrowth","pergrowth","margingrowth","ToOtherState","Owner","manufacture_r","active_r","highschool_r","Manufacture","X65to74","White","MedianIncome","SameHouse","State","Management","Black","Unemployed","Hispanic","white_r","MedianAge","NotInLabor","CountyFIPS.x","Bachelor","univ_r","homeowner_r","BornInState","FromOtherCounty","Population","unemp_r","management_r","Foodstamp","FromOtherState","hisp_r","ToOtherCounty","Tenure","Agriculture","Labor","X18to24","agriculture_r","HighSchool","CountyState","black_r","homegrown","same_house","move_in","move_out","youth","elder","FromOtherCounty10","ToOtherState10","highschool_r10","X65to74_10","HighSchool10","CountyFIPS.y","Black10","Population10","black_r10","State10","BornInState10","Agriculture10","Management10","MedianAge10","Tenure10","hisp_r10","Bachelor10","SameHouse10","Hispanic10","White10","ToOtherCounty10","univ_r10","CountyState10","Owner10","MedianIncome10","homeowner_r10","FromOtherState10","Manufacture10","white_r10","X18to24_10","Foodstamp10","homegrown10","same_house10","move_in10","move_out10","youth10","elder10","pop_growth","income_growth"
"1","Abbeville County",45,2315,45001,3712,6742,10724,0.346139500186498,0.628683327116747,3030,-0.28254382693025,"SC",45001,10577,4507,5923,1,0.426113264630803,0.559988654627966,1416,-0.133875389997164,819,0.0686946724887811,0.148668436933086,233,7624,0.217609705241209,0.420358565737052,0.242868525896414,2296,2618,17307,19688,22547,"South Carolina",2499,7233,1272,139,0.689521912350598,43.1,8776,1,2097,0.0835458167330677,0.781788351107465,19620,1060,25100,0.0506772908366534,0.236849587716804,16,254,0.00553784860557769,1770,9752,103,10551,2483,0.00976210785707516,6096,"Abbeville County, South Carolina",0.288167330677291,0.781673306772908,0.898286852589641,0.0523505976095618,0.079800796812749,0.0989243027888446,0.104302788844622,1158,224,0.228288421791522,2276,5854,1,7281,25643,0.283937136840463,"South Carolina",19962,48,2579,41.1,9875,0.0104511952579651,2639,22601,268,17741,1468,0.102913075693172,"Abbeville County, South Carolina",7642,17371,0.773873417721519,252,2399,0.691845727878953,2386,0,0.778458058729478,0.881371134422649,0.0549857660960106,0.0659829193152127,0.0930468353936747,0.0887571656982412,-0.0211753694965488,0.133383224915088
"2","Acadia Parish",22,1112,22001,5638,21159,27386,0.205871613233039,0.77262104725042,15521,-0.566749434017381,"LA",22001,26834,6559,19931,1,0.244428709845718,0.742751732876202,13372,-0.498323023030484,1228,0.029869314374218,0.0684264109868973,624,15837,0.0726692399049881,0.434363463429576,0.247618126420661,1958,4552,48367,19321,53064,"Louisiana",6591,10937,2313,1211,0.779723041704954,35.6,17544,1,3933,0.0634037819799778,0.694971037388099,56652,2015,62031,0.0372878077090487,0.244618467933492,0,771,0.0195224968161081,2441,22788,3629,26944,5772,0.134686757719715,15360,"Acadia Parish, Louisiana",0.176315068272315,0.913285292837452,0.855443246118876,0.0449130273572891,0.0494107784817269,0.0930502490690139,0.0733826635069562,2091,416,0.248172197778832,4193,15173,1,11074,61139,0.181128248744664,"Louisiana",56141,3372,6150,35.4,21984,0.0165033775495183,4200,53062,1009,48118,2123,0.06869592240632,"Acadia Parish, Louisiana",15338,18760,0.69768922852984,592,1887,0.787026284368406,5745,0,0.918251852336479,0.867891198743846,0.0438836094800373,0.0415283207118206,0.0939662081486449,0.0685814292023095,0.0145897054253423,0.0299040511727079
"3","Accomack County",51,2805,51001,6737,8582,15755,0.427610282450016,0.54471596318629,1845,-0.117105680736274,"VA",51001,16020,7653,8212,1,0.477715355805243,0.512609238451935,559,-0.0348938826466916,370,0.0321067247343551,0.0822117980895826,763,10053,0.14750486066105,0.465249510025629,0.274476104326851,2276,3808,20234,23901,30607,"Virginia",4588,9495,1157,2909,0.61010101010101,44.9,10377,1,4346,0.131041760892507,0.703548183917699,18328,263,33165,0.0348861751846826,0.297342838626053,0,1024,0.0877129503995176,915,14289,669,15430,2427,0.0433570965651329,9103,"Accomack County, Virginia",0.28629579375848,0.552630785466606,0.922870496004824,0.0388059701492537,0.0505955073119252,0.0731795567616463,0.114819840192975,304,1084,0.269770445605589,3431,9190,1,9729,34066,0.285592673046439,"Virginia",19592,740,4294,43.9,14085,0.0801972641343275,4359,30860,2732,20936,993,0.127957494275818,"Accomack County, Virginia",10436,21532,0.740930067447639,774,1963,0.614571713732167,2443,15,0.575118886866671,0.90588856924793,0.0316444548817002,0.0609698819937768,0.07171373216697,0.100716256678213,-0.0264486584864674,0.110022292402006
"4","Ada County",16,649,16001,75676,93748,195587,0.386917330906451,0.479316109966409,18072,-0.092398779059958,"ID",16001,180361,77043,97471,1,0.427159973608485,0.540421709793137,20428,-0.113261736184652,-3723,-0.0611055998267283,-0.0208629571246939,13391,103945,0.0882933885687647,0.508453495390224,0.140837016999846,18372,27416,351385,27796,334473,"Idaho",81197,4336,14651,30412,0.858630286947236,35.5,89940,1,97305,0.237770593711743,0.673184031915445,182286,9742,409239,0.0358005957398977,0.390221982996843,185,15916,0.0743135429418995,11197,154408,3024,208079,36541,0.0145329418153682,57636,"Ada County, Idaho",0.0105952756213362,0.445426755514504,0.817304802328224,0.0626968592924917,0.0600822502254184,0.0892901214204902,0.0669926375540943,11526,14274,0.147234961309946,20330,56055,1,3861,380718,0.0101413644744929,"Idaho",160570,2302,76674,34.4,145584,0.0677430539139205,85494,297230,25791,331637,10310,0.224559910484926,"Ada County, Idaho",101384,27911,0.696395208264645,17030,19492,0.871083058851959,35226,150,0.421755735216092,0.780709081262247,0.0750056472244549,0.0645727283711303,0.0925251761146045,0.0533991037986121,0.074913715663562,-0.00412023933216295
"5","Adair County",19,550,19001,1127,2456,3759,0.299813780260708,0.653365256717212,1329,-0.353551476456504,"IA",19001,3959,1788,2110,1,0.451629199292751,0.532962869411468,322,-0.0813336701187168,346,0.120402387305744,0.272217806337788,5,2482,0.13466397170288,0.524724910513058,0.309558531088426,533,771,7338,27307,6633,"Iowa",1008,36,117,114,0.972822484422644,46,1801,1,823,0.109107782049582,0.763222632226322,6500,460,7543,0.015511069866101,0.254674077817079,0,66,0.0151133501259446,692,3252,488,3958,494,0.123294593228903,2335,"Adair County, Iowa",0.00477263688187724,0.861726103672279,0.879358345485881,0.0697335277740952,0.0924035529630121,0.0654911838790932,0.102213973220204,229,36,0.314436302866692,746,2446,1,28,7779,0.00359943437459828,"Iowa",6684,536,1116,44.8,3409,0.00668466383853966,738,7044,52,7595,460,0.0948708060161974,"Adair County, Iowa",2583,24911,0.757700205338809,153,635,0.976346574109783,515,0,0.859236405707674,0.905514847666795,0.0491065689677336,0.0637614089214552,0.0662038822470755,0.0958992158375113,-0.0303380897287569,0.0961824093773835
"6","Adair County",21,992,21001,1323,6637,8228,0.16079241614001,0.806635877491492,5314,-0.645843461351483,"KY",21001,7600,1660,5841,1,0.218421052631579,0.768552631578947,4181,-0.550131578947368,796,0.0380832459125451,0.0957118824041143,470,5293,0.194775212636695,0.432429592265658,0.241908364859185,1603,1755,17805,18210,16455,"Kentucky",2060,520,812,342,0.935529634300126,39.6,6576,1,1954,0.102669188734763,0.742981471083661,14681,1016,19032,0.0426649852879361,0.250303766707169,0,481,0.0179697351828499,984,7124,278,8230,2543,0.033778857837181,4604,"Adair County, Kentucky",0.0273224043715847,0.771385035729298,0.864596469104666,0.0786569987389659,0.0763976460697772,0.133617065994115,0.0922131147540984,757,241,0.232229532952217,1599,4306,1,648,18542,0.0349476863337288,"Kentucky",13934,454,2004,38.5,7272,0.00749649444504368,1758,15604,139,17451,844,0.0948117786646532,"Adair County, Kentucky",5438,15436,0.747799779977998,671,1033,0.941160608348614,2106,0,0.751483119404595,0.841548915974544,0.0770143458095135,0.0585158019631108,0.113579980584619,0.0862366519253586,0.0264264912091468,0.179709769370303
"7","Adair County",29,1400,29001,3495,6019,10137,0.344776561112755,0.593765413830522,2524,-0.248988852717767,"MO",29001,10121,4218,5648,1,0.416757237427132,0.558047623752594,1430,-0.141290386325462,371,0.0357177900779282,0.107698466392305,659,5774,0.0746744847805467,0.452265813899072,0.186139926682786,866,1853,23547,15990,17659,"Missouri",3915,538,735,615,0.918298104672022,28.8,8985,1,3983,0.155331097418298,0.600957535387177,16644,2197,25642,0.0286639107713907,0.337587307062171,35,1075,0.023984088604633,2175,9608,371,11597,6898,0.0319910321634906,4773,"Adair County, Missouri",0.0209812027142969,0.649091334529288,0.688674830356446,0.127603151080259,0.110521800171593,0.269011777552453,0.0722642539583496,2103,1081,0.203515702152874,1638,5152,1,418,25315,0.0165119494370926,"Missouri",16375,260,4287,28.5,9584,0.0210942129172427,3482,18167,534,23535,1719,0.137546908947264,"Adair County, Missouri",5853,14406,0.610705342237062,1161,956,0.929685956942524,6711,0,0.646849693857397,0.71763776417144,0.128935413786293,0.110606359865692,0.265099743235236,0.06470472052143,0.0129172427414576,0.109954185755935
"8","Adair County",40,2130,40001,1374,4753,6468,0.212430426716141,0.734848484848485,3379,-0.522418058132344,"OK",40001,6472,2110,4362,1,0.32601977750309,0.67398022249691,2252,-0.34796044499382,391,0.0608682623515751,0.174457613138524,309,5591,0.19971072541166,0.401608579088472,0.26952636282395,1795,1848,9398,18296,20588,"Oklahoma",2027,72,697,1287,0.419928507596068,36.8,7171,1,1854,0.0828418230563003,0.703978846638126,13637,309,22380,0.0311438784629133,0.225522919448153,724,226,0.0575067024128686,1312,7942,585,8988,1934,0.065086782376502,6032,"Adair County, Oklahoma",0.0032171581769437,0.609338695263628,0.919928507596068,0.02390527256479,0.0724307417336908,0.0864164432529044,0.082573726541555,123,911,0.259855511951481,1689,5827,1,18,22424,0.000802711380663575,"Oklahoma",14746,727,2009,35.6,7919,0.050972172672137,1487,21060,1143,9676,1208,0.066312879058152,"Adair County, Oklahoma",5687,17003,0.71814623058467,209,1846,0.431501962183375,1942,413,0.657599001070282,0.939172315376382,0.0148055654655726,0.0944969675347842,0.086603638958259,0.0753210845522654,-0.0019621833749554,0.076045403752279
"9","Adams County",16,650,16003,415,1556,2183,0.190105359596885,0.712780577187357,1141,-0.522675217590472,"ID",16003,2060,577,1413,3,0.280097087378641,0.685922330097087,836,-0.405825242718447,143,0.0268582470902695,0.116849974872025,158,1313,0.0598591549295775,0.436028659160696,0.279682702149437,102,598,3663,19599,3400,"Idaho",403,0,190,117,0.937308085977482,51.3,1451,3,613,0.156857727737973,0.799147900182593,1872,164,3908,0.048618219037871,0.23650234741784,0,80,0.0299385875127943,184,1643,220,1704,241,0.129107981220657,1093,"Adams County, Idaho",0,0.479017400204708,0.870010235414534,0.0624360286591607,0.0875127942681679,0.061668372569089,0.153019447287615,210,0,0.28361237950279,558,1118,3,2,3942,0.000507356671740233,"Idaho",1838,339,445,46.1,1700,0.00938609842719432,607,3338,37,3584,239,0.153982749873161,"Adams County, Idaho",1366,19738,0.803529411764706,72,88,0.909183155758498,222,0,0.466260781329274,0.84677828513445,0.0715372907153729,0.0606291222729579,0.0563165905631659,0.141552511415525,-0.00862506341958397,-0.00704225352112676
"10","Adams County",17,693,17001,7633,22732,31770,0.240258105130626,0.715517784073025,15099,-0.475259678942399,"IL",17001,30538,9627,20371,1,0.315246578033925,0.667070535071059,10744,-0.351823957037134,2361,0.048447249001966,0.123435721905265,1899,19089,0.146146438264219,0.510586622561948,0.246286114463666,5008,5962,62186,25103,58857,"Illinois",9288,2480,2360,890,0.926586503360005,40.4,16327,1,9571,0.14261022454666,0.710526315789474,52703,860,67113,0.0351645731825429,0.271047947004407,22,1027,0.0132612161578234,1249,26866,721,34267,5906,0.0210406513555316,16529,"Adams County, Illinois",0.0369526023274179,0.785287500186253,0.876983594832596,0.0281167583031603,0.0469059645672224,0.0880008344136009,0.0888352480145426,1226,1556,0.266253916156945,5420,17847,1,2262,67030,0.0337460838430554,"Illinois",52137,895,9816,40.4,27149,0.0125764583022527,9569,57152,843,62572,1546,0.142756974489035,"Adams County, Illinois",20036,22949,0.73800139968323,1198,5324,0.933492466059973,6084,0,0.777815903326869,0.852633149336118,0.0361629121288975,0.0462777860659406,0.0907653289571834,0.080859316723855,0.00123825152916605,0.0938602989237004
