ToOtherState,Owner,manufacture_r,active_r,county_name,state_fips,highschool_r,Manufacture,65to74,White,MedianIncome,SameHouse,State,Management,Black,Unemployed,Hispanic,white_r,MedianAge,NotInLabor,CountyFIPS,Bachelor,univ_r,homeowner_r,BornInState,FromOtherCounty,Population,unemp_r,management_r,Foodstamp,FromOtherState,hisp_r,ToOtherCounty,Tenure,Agriculture,Labor,18to24,agriculture_r,HighSchool,CountyState,black_r
1387,15248,0.12307336621454994,0.4706906558328497,Autauga County,01,0.2201646836912362,3194,4561,42033,26728,46299,Alabama,7802,10257,1953,1391,0.7623512768427162,37.9,14077,001,7950,0.14418891468369124,0.7509850275807722,37521,3057,55136,0.03542150319210679,0.3006319358816276,28,2068,0.02522852582704585,3224,20304,380,25952,4689,0.014642416769420468,12139,"Autauga County, Alabama",0.1860309053975624
6331,52203,0.08491572908791746,0.47042702858188856,Baldwin County,01,0.20083679820088388,7638,19971,159047,25349,157599,Alabama,27776,17907,7526,8630,0.8318140215998535,41.8,55876,003,38147,0.19950838105698074,0.7145418708423444,103797,5297,191205,0.039360895374074945,0.30880064036999155,19,6901,0.04513480296017364,3885,73058,1385,89948,14752,0.015397785387112554,38401,"Baldwin County, Alabama",0.09365340864517141
494,6181,0.18443965920793934,0.3938567056307386,Barbour County,01,0.23230945093845642,1970,2490,12505,16750,22717,Alabama,2492,12565,1482,1283,0.46111582285482505,38.3,7708,005,2563,0.09450938456432759,0.675888463641334,18631,1614,27119,0.054648032744570224,0.2333114876884187,0,526,0.047310004056196765,1263,9145,321,10681,2421,0.030053365789720062,6300,"Barbour County, Alabama",0.46332829381614365
182,5449,0.1676660255685032,0.39019114466075133,Bibb County,01,0.2773584072749746,1482,1919,16936,19545,19398,Alabama,1700,4797,962,455,0.7476272458394032,40,7397,007,1606,0.07089568710546064,0.769850240180842,19411,1379,22653,0.042466781441751644,0.192329449032696,0,191,0.02008563987109875,1826,7078,362,8839,2067,0.04095485914696233,6283,"Bibb County, Alabama",0.21176003178386968
601,16416,0.15925729009038486,0.4241651487553127,Blount County,01,0.2336889582791222,3894,5574,50820,23858,51316,Alabama,6164,885,2148,4880,0.8816029143897997,40.2,18842,009,4789,0.08307745684794865,0.7841788478073947,46085,2389,57645,0.037262555295342184,0.25209602879227844,12,605,0.08465608465608465,2924,20934,664,24451,4716,0.027156353523373276,13471,"Blount County, Alabama",0.015352589123080927
109,2727,0.16609368285345938,0.4352380061722622,Bullock County,01,0.22005050032731693,773,836,2372,19191,9099,Alabama,789,7640,809,431,0.2218273636958758,38.5,3225,011,1026,0.095950621902179,0.7279765082754939,9023,425,10693,0.07565697185074348,0.16953158573270305,0,236,0.04030674272888806,554,3746,549,4654,1127,0.11796304254404813,2353,"Bullock County, Alabama",0.7144861124099878
437,5770,0.18178686265502986,0.4243044389221849,Butler County,01,0.2540564244993422,1583,1924,11006,18353,19168,Alabama,2092,8975,1032,233,0.5362763728499732,40.5,6718,013,2011,0.09798762364176777,0.6991397067732945,17426,263,20523,0.05028504604589972,0.24023886081763896,9,81,0.011353116016176973,700,8253,305,8708,1647,0.035025264124942584,5214,"Butler County, Alabama",0.4373142328119671
2406,31077,0.1512962577766012,0.45127404297441676,Calhoun County,01,0.21756011810284506,8001,10116,85871,20603,96685,Alabama,12616,24396,6874,4017,0.7327752461898179,38.8,36713,015,13299,0.11348625262403358,0.6853003440063509,85766,5061,117186,0.05865888416705067,0.23856437796645424,34,3028,0.03427883876913625,3559,45348,301,52883,12182,0.005691810222566799,25495,"Calhoun County, Alabama",0.2081818647278685
1134,9331,0.20145178476291956,0.4404681587515767,Chambers County,01,0.2606259716640756,3025,3396,19651,19775,29070,Alabama,3399,13722,1892,158,0.5764277961925435,43.1,11336,017,2911,0.08538910562905165,0.6712466729012301,26005,889,34091,0.05549851867061688,0.22635855087906234,19,727,0.004634654307588513,1059,13901,170,15016,2872,0.011321257325519446,8885,"Chambers County, Alabama",0.40251092663752897
456,9069,0.19047198941332158,0.43525842869211273,Cherokee County,01,0.2590814837570079,2159,3160,23929,20755,23453,Alabama,3110,1283,1025,375,0.9188618385684664,45.2,9027,019,2583,0.09918593042009062,0.7734095173119563,14252,600,26042,0.03935949619844866,0.27437141596823994,3,481,0.014399815682359266,491,11726,229,11335,1941,0.020202911336568152,6747,"Cherokee County, Alabama",0.04926656938791184
