"","county_name","state_fips","X","combined_fips","votes_dem_2016","votes_gop_2016","total_votes_2016","per_dem_2016","per_gop_2016","diff_2016","per_point_diff_2016","state_abbr","FIPS","total_votes_2012","votes_dem_2012","votes_gop_2012","county_fips","per_dem_2012","per_gop_2012","diff_2012","per_point_diff_2012","puregrowth","pergrowth","margingrowth","ToOtherState","Owner","manufacture_r","active_r","highschool_r","Manufacture","X65to74","White","MedianIncome","SameHouse","State","Management","Black","Unemployed","Hispanic","white_r","MedianAge","NotInLabor","CountyFIPS.x","Bachelor","univ_r","homeowner_r","BornInState","FromOtherCounty","Population","unemp_r","management_r","Foodstamp","FromOtherState","hisp_r","ToOtherCounty","Tenure","Agriculture","Labor","X18to24","agriculture_r","HighSchool","CountyState","black_r","homegrown","same_house","move_in","move_out","youth","elder","FromOtherCounty10","ToOtherState10","highschool_r10","X65to74_10","HighSchool10","CountyFIPS.y","Black10","Population10","black_r10","State10","BornInState10","Agriculture10","Management10","MedianAge10","Tenure10","hisp_r10","Bachelor10","SameHouse10","Hispanic10","White10","ToOtherCounty10","univ_r10","CountyState10","Owner10","MedianIncome10","homeowner_r10","FromOtherState10","Manufacture10","white_r10","X18to24_10","Foodstamp10","homegrown10","same_house10","move_in10","move_out10","youth10","elder10","pop_growth","income_growth"
"3","Accomack County",51,2805,51001,6737,8582,15755,0.427610282450016,0.54471596318629,1845,-0.117105680736274,"VA",51001,16020,7653,8212,1,0.477715355805243,0.512609238451935,559,-0.0348938826466916,370,0.0321067247343551,0.0822117980895826,763,10053,0.14750486066105,0.465249510025629,0.274476104326851,2276,3808,20234,23901,30607,"Virginia",4588,9495,1157,2909,0.61010101010101,44.9,10377,1,4346,0.131041760892507,0.703548183917699,18328,263,33165,0.0348861751846826,0.297342838626053,0,1024,0.0877129503995176,915,14289,669,15430,2427,0.0433570965651329,9103,"Accomack County, Virginia",0.28629579375848,0.552630785466606,0.922870496004824,0.0388059701492537,0.0505955073119252,0.0731795567616463,0.114819840192975,304,1084,0.269770445605589,3431,9190,1,9729,34066,0.285592673046439,"Virginia",19592,740,4294,43.9,14085,0.0801972641343275,4359,30860,2732,20936,993,0.127957494275818,"Accomack County, Virginia",10436,21532,0.740930067447639,774,1963,0.614571713732167,2443,15,0.575118886866671,0.90588856924793,0.0316444548817002,0.0609698819937768,0.07171373216697,0.100716256678213,-0.0264486584864674,0.110022292402006
"30","Albemarle County",51,2806,51003,33297,19232,56134,0.593169914846617,0.342608757615705,14065,0.250561157230912,"VA",51003,53732,29712,23263,3,0.552966574852974,0.432944986227946,6449,0.120021588625028,-4031,-0.0903362286122408,-0.130539568605884,3832,25135,0.0359927768201592,0.478313359441713,0.123681085166318,1754,8237,78949,32660,83137,"Virginia",25142,9616,2126,5698,0.774898658264872,38.5,29987,3,35395,0.347408301679377,0.652230324104108,46945,6876,101883,0.0208670730151252,0.515923828285316,8,4330,0.055926896538186,6686,38537,805,48732,12297,0.0165189198062874,12601,"Albemarle County, Virginia",0.0943827723957873,0.460773632500025,0.816004632765034,0.109988908846422,0.103236064897971,0.120697270398398,0.0808476389584131,6888,4094,0.123446441691762,6637,11929,3,9563,96633,0.0989620523009738,"Virginia",45099,1084,25201,37.6,37459,0.0495689878198959,32620,76415,4790,76042,8997,0.337565841896661,"Albemarle County, Virginia",24510,31826,0.654315384820737,5391,2015,0.786915442964619,12118,0,0.466703921020769,0.79077540798692,0.127068392785073,0.135471319321557,0.12540229528215,0.0686825411608871,0.0543292663996771,0.0262049896311192
"35","Alexandria city",51,2807,51510,57147,13241,74384,0.768270058077006,0.178008711550871,43906,0.590261346526135,"VA",51510,73470,52434,20205,510,0.713679052674561,0.275010208248265,32229,0.438668844426296,-6964,-0.0970014966973934,-0.151592502099838,10668,28146,0.0214822544772265,0.647914930816407,0.0908470038655393,2038,8346,77220,51453,112373,"Virginia",52472,31614,4435,24112,0.52737976533581,35.8,22922,510,68612,0.468590785537692,0.426997997451302,32831,8935,146422,0.0302891641966371,0.553099537256638,38,9614,0.16467470735272,9390,65916,254,94869,9326,0.00267737617135207,13302,"Alexandria city, Virginia",0.215910177432353,0.224221769952603,0.767459807952357,0.126681782792203,0.13698761115133,0.0636926144978214,0.0569996312029613,7658,8158,0.0960066443691216,6631,12831,510,29378,133647,0.219817878440968,"Virginia",28070,158,48744,35.7,63738,0.150074449856712,60977,102467,20057,73316,9532,0.456254162083698,"Alexandria city, Virginia",29103,49546,0.456603595971006,10873,2399,0.548579466804343,10144,0,0.210030902302334,0.766698840976603,0.138656311028306,0.132363614596661,0.075901441858029,0.0496157788801844,0.0955876301001893,0.0384894845194365
"43","Alleghany County",51,2808,51005,2165,4873,7306,0.296331782096907,0.66698603887216,2708,-0.370654256775253,"VA",51005,7162,3403,3595,5,0.475146607092991,0.501954761239877,192,-0.0268081541468864,1278,0.165031277632283,0.343846102628367,274,5337,0.187845303867403,0.437550362610798,0.269757639620653,1326,2129,14862,23181,14365,"Virginia",2042,813,403,215,0.921217380524391,46.8,5618,5,2002,0.124093473005641,0.794906166219839,11809,522,16133,0.0249798549556809,0.289276101430798,0,238,0.0133267216264799,913,6714,162,7059,1091,0.0229494262643434,4352,"Alleghany County, Virginia",0.0503936031736193,0.731977933428377,0.89041095890411,0.0471084113308126,0.0735759003285192,0.0676253641604165,0.131965536478026,611,151,0.274167987321712,1757,4498,5,979,16406,0.0596732902596611,"Virginia",12412,108,2106,44.7,6964,0.00438863830305986,1749,14903,72,15178,1372,0.106607338778496,"Alleghany County, Virginia",5758,22405,0.826823664560597,233,1527,0.925149335608924,1121,0,0.756552480799707,0.908387175423625,0.0514445934414239,0.0928318907716689,0.0683286602462514,0.107094965256613,-0.0166402535657686,0.0346351260879268
"54","Amelia County",51,2809,51007,2150,4704,7035,0.305614783226724,0.66865671641791,2554,-0.363041933191187,"VA",51007,6885,2488,4324,7,0.361365286855483,0.62803195352215,1836,-0.266666666666667,380,0.0406247628957609,0.0963752665245203,125,3886,0.0856762601896523,0.470933876527734,0.24341899091194,515,1370,9203,28540,11800,"Virginia",1532,3184,359,115,0.721012221874021,43.3,3901,7,1421,0.111328737073018,0.816215080865364,9360,372,12764,0.0281259793168286,0.254866078855432,0,156,0.00900971482293952,878,4761,240,6011,934,0.0399268008650807,3107,"Amelia County, Virginia",0.249451582575995,0.73331244124099,0.924475086179881,0.0413663428392353,0.0785803823252899,0.0731745534315262,0.10733312441241,413,202,0.275065910361908,1203,3443,7,2954,12517,0.235999041303827,"Virginia",9188,392,1539,41.5,4901,0.0233282735479748,1130,11183,292,9096,516,0.0902772229767516,"Amelia County, Virginia",4080,25344,0.832483166700673,81,366,0.726691699288967,1027,0,0.734041703283534,0.893424942078773,0.0394663257969162,0.0573619876967324,0.0820484141567468,0.0961092913637453,0.0197331628984581,0.126104797979798
"55","Amherst County",51,2810,51009,4986,9643,15164,0.328805064626748,0.635914006858349,4657,-0.307108942231601,"VA",51009,14937,5898,8865,9,0.39485840530227,0.593492669210685,2967,-0.198634263908415,778,0.0424213376476639,0.108474678323186,380,9373,0.148292315419387,0.494090641188696,0.241864937804386,2362,3294,24405,24040,28725,"Virginia",4287,6001,1128,665,0.757049353227658,43.1,9405,9,4099,0.12715203027577,0.745249264530492,24418,1076,32237,0.0349908490244129,0.269148669010547,16,530,0.0206284703911654,1675,12577,273,15928,3251,0.0171396283274736,7797,"Amherst County, Virginia",0.186152557620126,0.757452616558613,0.891056860129665,0.0498185315010702,0.0637466265471353,0.100846852995006,0.10218072401278,1537,412,0.237443911496209,3005,7673,9,6201,32315,0.191892310072722,"Virginia",24563,180,4172,41.1,12706,0.0208881324462324,3421,28171,675,24394,1449,0.105864149775646,"Amherst County, Virginia",9576,21345,0.753659688336219,744,2475,0.754881633916138,3415,51,0.760111403373047,0.871762339470834,0.0705864149775646,0.0575893547887978,0.105678477487235,0.0929908711124865,-0.00241373974934241,0.126259077067229
"74","Appomattox County",51,2811,51011,2023,5714,7954,0.254337440281619,0.718380688961529,3691,-0.46404324867991,"VA",51011,7924,2453,5340,11,0.309565875820293,0.673902069661787,2887,-0.364336193841494,374,0.0444786192997418,0.0997070548384153,139,4839,0.146764705882353,0.449230362687455,0.273766268084825,998,1648,11609,25756,14220,"Virginia",1899,3023,474,177,0.766928717711568,42.5,4972,11,1653,0.10920261610623,0.811368209255533,11077,270,15137,0.0313139988108608,0.279264705882353,4,145,0.0116932020875999,933,5964,167,6800,1024,0.0245588235294118,4144,"Appomattox County, Virginia",0.199709321530026,0.731783048160137,0.939419964325824,0.0274162647816608,0.0708198454119046,0.0676488075576402,0.108872299663077,597,187,0.292158602333993,1344,4281,11,3246,14653,0.221524602470484,"Virginia",11519,232,1726,43.3,5976,0.00245683477786119,1209,13113,36,11182,413,0.0825087012898383,"Appomattox County, Virginia",4539,24258,0.759538152610442,169,1437,0.763120180167884,1117,0,0.786118883505084,0.894902067835938,0.0522759844400464,0.0409472462976865,0.076230123524193,0.0917218317068177,0.0330307786801338,0.0617528238107016
"81","Arlington County",51,2812,51013,91879,20155,119344,0.769866939267998,0.168881552486929,71724,0.60098538678107,"VA",51013,117279,81178,34433,13,0.692178480375856,0.293599024548299,46745,0.398579455827556,-14278,-0.124717472061371,-0.202405930953513,14384,43157,0.0181623187598368,0.652187143746054,0.0653713216425266,2608,11553,139255,59876,170871,"Virginia",93273,18354,5136,34014,0.632479913522548,33.8,36392,13,119150,0.541165356333429,0.448319205518158,44387,9269,220173,0.0233271109536592,0.64956056659749,125,16472,0.154487607472306,11463,96264,161,143594,18532,0.00112121676393164,14393,"Arlington County, Virginia",0.0833617201019198,0.201600559559982,0.776076085623578,0.1169126096297,0.117394049224928,0.084170175271264,0.0524723739968116,8300,13291,0.069940800234976,9115,13811,13,16871,197467,0.0854370603695807,"Virginia",37383,274,84684,33.9,91892,0.148678006958125,102687,152132,29359,126061,12609,0.520021066811163,"Arlington County, Virginia",43168,54485,0.46976885909546,16903,2449,0.638390212035429,20161,36,0.189312644644422,0.770417335554802,0.127631452343936,0.131161156041263,0.10209807208293,0.0461596114793864,0.114986301508607,0.0989446636688997
"105","Augusta County",51,2813,51015,8108,26152,36661,0.221161452224435,0.713346608112163,18044,-0.492185155887728,"VA",51015,33614,9448,23614,15,0.281073362289522,0.702504908669007,14166,-0.421431546379485,2538,0.0108416994431558,0.0707536095082434,729,22813,0.145112529392005,0.484675810981318,0.294910931119161,5184,7662,67775,26365,66198,"Virginia",10528,3029,1753,1667,0.919519177283026,44,19307,15,11259,0.152753469819691,0.811157730052624,53816,2514,73707,0.0237833584327133,0.294703840555369,34,635,0.0226165764445711,4634,28124,868,35724,5578,0.0242973911096182,21737,"Augusta County, Virginia",0.0410951470009633,0.730134179928636,0.898123651756278,0.0427232148913943,0.0727610674698468,0.0756780224402024,0.103952134804021,2738,1254,0.299449461072936,6414,21920,15,3077,73201,0.0420349448778022,"Virginia",52694,724,10047,42.3,27909,0.0208330487288425,9965,65797,1525,67615,4907,0.136132020054371,"Augusta County, Virginia",22683,25509,0.81274857572826,579,6243,0.923689567082417,5380,0,0.719853553913198,0.898853840794525,0.0453135886121774,0.0841655168645237,0.0734962637122444,0.0876217538011776,0.00691247387330774,0.0335567838801991
"146","Bath County",51,2814,51017,603,1548,2243,0.268836379848417,0.690147124386982,945,-0.421310744538564,"VA",51017,2218,894,1274,17,0.403065825067629,0.57439134355275,380,-0.171325518485122,274,0.115755780834231,0.249985226053443,76,1674,0.0739202657807309,0.518518518518518,0.325796726959518,178,673,4178,26429,4089,"Virginia",593,275,99,83,0.899655469422911,49.8,1312,17,716,0.154177433247201,0.752359550561798,3390,286,4644,0.0213178294573643,0.246262458471761,0,57,0.0178725236864772,158,2225,57,2408,158,0.0236710963455149,1513,"Bath County, Virginia",0.0592161929371232,0.729974160206718,0.880490956072351,0.0738587424633936,0.0503875968992248,0.0340223944875108,0.144918173987941,282,48,0.362209667294413,520,1731,17,172,4779,0.0359907930529399,"Virginia",3932,38,286,47,2025,0.0125549278091651,421,4454,60,4513,586,0.0880937434609751,"Bath County, Virginia",1761,25275,0.86962962962963,9,374,0.944339820046035,315,0,0.822766269093953,0.931994141033689,0.0608913998744507,0.132663737183511,0.0659133709981168,0.108809374346098,-0.0282485875706215,0.0456577645895153
